A	B	Interactor
AT2G46610	AT3G53500	1
AT2G46610	AT3G55460	1
AT2G46610	AT3G61860	1
AT2G46610	AT4G14300	1
AT2G46610	AT5G09880	1
AT2G46780	AT2G46780	1
AT2G46780	AT3G06970	1
AT2G46780	AT1G27960	1
AT2G46780	AT3G14100	1
AT2G46780	AT3G19130	1
AT2G46780	AT3G46020	1
AT2G46780	AT4G03110	1
AT2G46780	AT4G13860	1
AT2G46780	AT4G14300	1
AT2G46780	AT4G17720	1
AT2G46780	AT5G16840	1
AT2G46780	AT5G19350	1
AT2G46780	AT5G43960	1
AT2G46780	AT5G47620	1
AT2G46780	AT1G43190	1
AT2G46780	AT4G27000	1
AT2G46780	AT5G48650	1
AT2G47580	AT3G04500	1
AT2G47580	AT5G09880	1
AT3G01210	AT3G01210	1
AT3G01210	AT4G17720	1
AT3G04500	AT3G04500	1
AT3G04500	AT3G10400	1
AT3G04500	AT3G13224	1
AT3G04500	AT3G13570	1
AT3G04500	AT5G16840	1
AT3G04500	AT5G52040	1
AT3G04500	AT5G04600	1
AT3G06970	AT1G27960	1
AT3G06970	AT3G53500	1
AT3G06970	AT3G63450	1
AT3G06970	AT4G03110	1
AT3G06970	AT5G16840	1
AT3G08000	AT3G23830	1
AT3G08000	AT3G52380	1
AT3G08000	AT3G53460	1
AT3G09160	AT3G09160	1
AT3G09160	AT3G46020	1
AT3G09160	AT4G13860	1
AT3G09160	AT5G16840	1
AT3G10400	AT3G10400	1
AT3G10400	AT5G42820	1
AT1G27960	AT4G03110	1
AT1G27960	AT4G13860	1
AT3G11400	AT3G19090	1
AT3G11400	AT3G46020	1
AT3G11400	AT5G16840	1
AT3G11400	AT5G19350	1
AT3G11400	AT5G43960	1
AT3G11400	AT1G43190	1
AT3G13224	AT3G15010	1
AT3G13224	AT4G14300	1
AT3G13224	AT1G30460	1
AT3G13570	AT3G53500	1
AT3G13570	AT3G61860	1
AT3G13570	AT4G13860	1
AT3G13570	AT5G16840	1
AT3G13570	AT5G18810	1
AT3G13700	AT3G13700	1
AT3G13700	AT3G46020	1
AT3G13700	AT4G17720	1
AT3G13700	AT5G47620	1
AT3G14100	AT4G03110	1
AT3G14450	AT3G14450	1
AT3G14450	AT3G19090	1
AT3G14450	AT3G49390	1
AT3G14450	AT4G03110	1
AT3G14450	AT4G14300	1
AT3G14450	AT5G47620	1
AT3G15010	AT3G61860	1
AT3G15010	AT5G42820	1
AT3G19090	AT5G47620	1
AT3G19090	AT5G60980	1
AT3G19130	AT3G19130	1
AT3G19130	AT4G00830	1
AT3G19130	AT4G03110	1
AT3G19130	AT4G14300	1
AT3G19130	AT5G66010	1
AT3G19130	AT5G48650	1
AT3G20930	AT3G23830	1
AT3G20930	AT3G52380	1
AT3G20930	AT4G09040	1
AT3G23830	AT3G23830	1
AT3G23830	AT4G09040	1
AT3G23830	AT5G06210	1
AT3G23830	AT5G50250	1
AT3G46020	AT4G17720	1
AT3G46020	AT5G43960	1
AT3G46020	AT5G61030	1
AT3G49390	AT4G03110	1
AT3G49390	AT5G19350	1
AT3G52380	AT3G52380	1
AT3G52380	AT4G09040	1
AT3G52380	AT5G06210	1
AT3G52380	AT3G53460	1
AT3G53500	AT3G53500	1
AT3G53500	AT3G61860	1
AT3G53500	AT4G17720	1
AT3G53500	AT5G12190	1
AT3G53500	AT5G18810	1
AT3G55460	AT3G55460	1
AT3G55460	AT3G61860	1
AT3G55460	AT4G10110	1
AT3G55460	AT4G13850	1
AT3G55460	AT5G09880	1
AT3G55460	AT5G10350	1
AT3G55460	AT5G18810	1
AT3G55460	AT5G23590	1
AT3G61860	AT3G61860	1
AT3G63450	AT3G63450	1
AT3G63450	AT4G03110	1
AT3G63450	AT5G16840	1
AT3G63450	AT5G19350	1
AT3G63450	AT5G43960	1
AT3G63450	AT5G47620	1
AT3G63450	AT5G60980	1
AT3G63450	AT4G27000	1
AT4G00830	AT1G43190	1
AT4G03110	AT4G03110	1
AT4G03110	AT4G10610	1
AT4G03110	AT4G17720	1
AT4G03110	AT5G19350	1
AT4G03110	AT5G43960	1
AT4G03110	AT5G47620	1
AT4G03110	AT5G60980	1
AT4G03110	AT1G43190	1
AT4G03110	AT4G27000	1
AT4G03110	AT5G48650	1
AT4G09040	AT4G09040	1
AT4G09040	AT4G20030	1
AT4G09040	AT5G06210	1
AT4G09040	AT3G53460	1
AT4G09040	AT3G52150	1
AT4G10110	AT5G09880	1
AT4G10110	AT5G18810	1
AT4G10610	AT5G47620	1
AT4G10610	AT5G60980	1
AT4G10610	AT1G43190	1
AT4G13860	AT4G13860	1
AT4G13860	AT4G17720	1
AT4G13860	AT5G32450	1
AT4G13860	AT5G42820	1
AT4G13860	AT5G47620	1
AT4G13860	AT5G51120	1
AT4G13860	AT1G79880	1
AT4G13860	AT5G04600	1
AT4G13860	AT3G47120	1
AT4G13860	AT4G36960	1
AT4G13860	AT1G53650	1
AT4G14300	AT5G16840	1
AT4G14300	AT5G19350	1
AT4G14300	AT5G43960	1
AT4G14300	AT5G47620	1
AT4G14300	AT5G60980	1
AT4G14300	AT1G30460	1
AT4G14300	AT5G48650	1
AT4G17720	AT4G17720	1
AT4G17720	AT5G16840	1
AT4G17720	AT5G43960	1
AT4G20030	AT3G52150	1
AT5G06210	AT5G06210	1
AT5G06210	AT3G52150	1
AT5G12190	AT5G16840	1
AT5G12190	AT1G43190	1
AT5G16840	AT5G16840	1
AT5G16840	AT5G19350	1
AT5G16840	AT5G23590	1
AT5G16840	AT1G43190	1
AT5G16840	AT1G30460	1
AT5G16840	AT4G27000	1
AT5G16840	AT5G48650	1
AT5G18810	AT5G18810	1
AT5G19350	AT5G19350	1
AT5G19350	AT5G43960	1
AT5G19350	AT1G43190	1
AT5G23590	AT5G23590	1
AT5G23590	AT1G43190	1
AT5G23590	AT1G53720	1
AT5G43960	AT5G43960	1
AT5G43960	AT5G48650	1
AT5G46840	AT5G46840	1
AT5G47620	AT5G47620	1
AT5G47620	AT1G43190	1
AT5G60980	AT5G60980	1
AT5G60980	AT1G43190	1
